races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,champion
2,0,0,0,0,2,0,0,8,0,0,0,0,45,0
2,0,0,0,0,1,0,0,0,0,0,0,0,47,0
14,0,0,0,0,0,0,0,53,0,0,14,0,300,0
14,0,0,0,0,0,0,0,63,0,1,22,0,268,0
4,0,0,0,0,1,0,0,51,0,0,16,0,89,0
10,0,0,0,0,1,0,0,60,0,1,14,0,201,0
14,0,0,0,0,4,0,0,112,0,2,44,0,272,0
15,0,0,0,0,1,0,0,70,0,1,42,0,244,0
1,0,0,0,0,0,0,0,0,0,0,0,0,23,0
18,0,0,0,0,3,0,0,28,3,3,12,0,246,0
15,0,0,0,0,0,0,0,27,10,1,36,0,165,0
15,0,0,0,0,1,0,0,11,1,3,8,0,191,0
3,0,0,0,0,0,0,0,5,0,0,0,0,69,0
19,0,0,0,0,0,0,0,45,3,0,10,0,326,0
17,0,0,0,0,2,0,0,42,0,3,1,0,303,0
9,0,0,0,0,0,0,0,31,0,1,0,0,190,0
1,0,0,0,0,0,0,0,6,0,0,0,0,21,0
3,0,0,0,0,0,0,0,8,0,0,1,0,54,0
1,0,0,0,0,0,0,0,0,1,0,0,0,19,0
1,0,0,0,0,0,0,0,0,7,0,0,0,11,0
3,0,0,0,0,0,0,0,0,43,0,2,0,18,0
1,0,0,0,0,0,0,0,0,7,0,0,0,5,0
1,0,0,0,0,0,0,0,0,6,0,0,0,9,0
1,0,0,0,0,0,0,0,13,0,0,0,0,25,0
1,0,0,0,0,0,0,0,11,0,0,0,0,25,0
1,0,0,0,0,0,0,0,5,0,1,0,0,29,0
1,0,0,0,0,0,0,0,1,0,1,0,0,29,0
8,1,4,1,2,0,0,0,7,8,0,103,1,30,0
11,0,3,1,3,2,0,1,2,2,3,53,0,61,0
10,0,2,0,3,2,0,1,14,12,3,59,0,47,0
14,0,0,1,1,1,0,0,27,12,2,41,0,138,0
15,1,7,1,5,3,1,3,19,8,0,173,1,69,0
