races,wins,podiums,poles,front_rows,wet_races,wet_wins,wet_podiums,gained_positions,lost_positions,collisions,points,wins_not_from_pole,starting_position,ahead
17,0,0,0,1,2,0,0,29,7,4,58,0,187,0
2,0,0,0,0,0,0,0,0,9,0,0,0,19,1
17,1,7,1,8,3,0,2,10,17,3,151,1,61,1
16,0,1,0,0,3,0,0,26,12,3,91,0,119,0
16,2,6,1,3,2,1,1,25,6,1,181,2,85,1
10,0,0,0,0,1,0,0,32,0,0,24,0,145,1
9,0,0,0,0,2,0,0,42,0,3,4,0,162,1
3,0,0,0,0,0,0,0,12,0,0,5,0,53,1
7,0,0,0,0,1,0,0,31,0,0,2,0,163,0
1,0,0,0,0,0,0,0,10,0,0,0,0,21,0
4,0,0,0,0,0,0,0,24,0,0,22,0,57,0
3,0,0,0,0,1,0,0,27,0,1,1,0,65,1
1,0,0,0,0,0,0,0,6,0,0,10,0,11,0
1,0,0,0,0,0,0,0,0,0,1,0,0,13,0
4,0,0,0,0,1,0,0,17,0,0,14,0,58,1
5,0,0,0,0,0,0,0,8,0,2,1,0,74,0
1,0,0,0,0,0,0,0,1,0,0,2,0,10,0
2,0,0,0,0,1,0,0,11,0,0,4,0,39,1
2,0,0,0,0,0,0,0,4,0,0,6,0,27,1
3,0,0,0,0,2,0,0,33,0,0,0,0,73,1
1,0,0,0,0,0,0,0,0,0,1,0,0,17,1
3,0,0,0,0,1,0,0,7,0,1,0,0,56,0
1,0,0,0,0,0,0,0,0,0,1,0,0,16,0
1,0,0,0,0,0,0,0,9,0,0,0,0,20,1
2,0,0,0,0,0,0,0,12,0,0,6,0,38,0
6,0,0,0,0,0,0,0,9,0,0,22,0,76,1
8,0,3,0,1,1,0,0,9,9,1,75,0,42,1
6,1,1,0,0,2,0,0,13,3,0,38,1,66,1
8,0,0,0,0,0,0,0,7,14,1,14,0,54,0
7,0,0,0,0,2,0,0,9,0,2,26,0,60,1
2,0,0,0,0,0,0,0,0,0,0,0,0,33,1
2,0,0,0,0,0,0,0,11,0,0,4,0,35,1
2,0,0,0,0,0,0,0,5,0,0,0,0,33,1
1,0,0,0,0,0,0,0,2,0,0,0,0,18,0
1,0,0,0,0,0,0,0,0,0,0,0,0,28,1
6,0,0,0,0,0,0,0,26,0,0,20,0,92,0
9,0,0,0,0,0,0,0,19,4,1,38,0,99,0
